"Listing ID","Sts","SubType","Address","Listing Contract Date","Activation Date","Purchase Contract Date","Close Date","City","County Or Parish","Original List Price","Days In MLS","Close Price","Current Price","RATIO Close Price By Original List Price","Concessions Amount","Bedrooms Total","Buyer Financing","Bathrooms Total Integer","Above Grade Finished Area","Building Area Total","Living Area","Parking Total","Association YN","Association Fee Total Annual"
"9552249","A","SFR","6443 Annapurna Drive","12/02/2024","","","","Evergreen","Jefferson","$925,000","33","","$925,000","","","3","","4","1,989","3,205","3,205","4","Yes","$225.00"
"1907363","A","SFR","6679 S Robb Street","12/02/2024","","","","Littleton","Jefferson","$815,000","33","","$815,000","","","3","","3","2,134","3,675","2,134","2","Yes","$2,580.00"
"4926643","A","CON","9691 Independence Drive","12/02/2024","","","","Westminster","Jefferson","$565,000","33","","$565,000","","","3","","3","1,726","2,857","1,726","2","Yes","$4,020.00"
"2188621","A","CON","1878 S Cole Street","12/02/2024","2024-11-25","","","Lakewood","Jefferson","$510,000","33","","$504,900","","","2","","2","1,189","1,852","1,589","2","Yes","$5,400.00"
"7250249","P","SFR","31196 Roberts Road","12/02/2024","","12/06/2024","","Pine","Jefferson","$1,195,000","4","","$1,195,000","","","5","","5","3,341","4,601","4,521","3","No","$0.00"
"2007500","C","TWH","62 S Holman Way Unit# 62","12/02/2024","","12/10/2024","12/31/2024","Golden","Jefferson","$569,800","8","$550,000","$550,000","0.96525","0","3","Conventional","4","1,518","2,254","2,254","2","Yes","$4,680.00"
"9205597","C","SFR","6281 W 110th Place","12/02/2024","","12/05/2024","12/31/2024","Westminster","Jefferson","$525,000","3","$521,000","$521,000","0.99238","0","3","Cash","3","1,648","2,224","1,648","2","No","$0.00"
"1706316","C","TWH","15217 W 69th Avenue","12/02/2024","","12/09/2024","12/27/2024","Arvada","Jefferson","$474,990","7","$474,990","$474,990","1.00000","0","3","FHA","4","1,098","1,634","1,634","1","Yes","$540.00"
"5338762","C","CON","8356 W 87th Drive Unit# A","12/02/2024","","12/05/2024","12/27/2024","Arvada","Jefferson","$310,000","3","$275,000","$275,000","0.88710","0","2","Cash","2","1,050","1,050","1,050","0","Yes","$4,068.36"
"2559734","X","SFR","6327 S Miller Court","12/02/2024","","","","Littleton","Jefferson","$818,000","25","","$818,000","","","4","","2","2,243","4,486","2,243","2","Yes","$780.00"
